OID_,start_DomLoc,end_DomLoc,FlowDir,multInt,long,lat,hl_link,hf_id,poi_id,hl_uri,START_X,START_Y,END_X,END_Y,order_,flowpath_id,TopWdth,TopWdthCC
35,o,i,1,0,-150.665794315999989,59.546624617200003,Alaska35,61466.000000000000000,69,coastal-Alaska35,-150.719463748000010,59.544291266400002,-150.660348642000002,59.549069070800002,1.000000000000000,wb-504,6.486429428974140,19.459288286922401
36,o,i,1,0,-150.658331151999988,59.556108111900002,Alaska36,66504.000000000000000,89,coastal-Alaska36,-150.679550280000001,59.574180269400003,-150.660995888000002,59.549402405199999,1.000000000000000,wb-500,5.726765547847220,17.180296643541698
37,o,i,1,0,-150.669268347000013,59.556773878500003,Alaska37,64824.000000000000000,83,coastal-Alaska37,-150.698536154000010,59.572846928300002,-150.660995888000002,59.549402405199999,1.000000000000000,wb-503,6.082873348234310,18.248620044702900
38,o,i,1,0,-150.411096652999987,59.581101366200002,Alaska38,133703.000000000000000,488,coastal-Alaska38,-150.410727565000002,59.581402560199997,-150.412237804000000,59.580402556400003,1.000000000000000,wb-534,7.960357643293280,23.881072929879799
39,o,i,1,0,-150.422593739999996,59.588497298299998,Alaska39,49701.000000000000000,19,coastal-Alaska39,-150.455603284000006,59.608180427500002,-150.412237804000000,59.580402556400003,1.000000000000000,wb-537,6.451896461104250,19.355689383312701
40,o,i,1,0,-151.282567524999990,59.558951561599997,Alaska40,100106.000000000000000,249,coastal-Alaska40,-151.201014554000011,59.539180060699998,-151.282999023000002,59.559180119799997,2.000000000000000,wb-540,9.873678675663610,29.621036026990801
41,o,i,1,0,-151.174336761000006,59.586218859900001,Alaska41,113546.000000000000000,381,coastal-Alaska41,-151.001878626999996,59.544291221700000,-151.181381466000005,59.590735805199998,2.000000000000000,wb-551,10.545098369995801,31.635295109987300
42,o,i,1,0,-150.158330011999993,59.621513856100002,Alaska42,71540.000000000000000,105,coastal-Alaska42,-150.160890743000010,59.621847190200000,-150.146867084999997,59.619958296699998,1.000000000000000,wb-564,5.466730353346470,16.400191060039401
43,o,i,1,0,-150.142587270999996,59.625051322600001,Alaska43,59779.000000000000000,61,coastal-Alaska43,-150.133490679999994,59.630736115500000,-150.146867084999997,59.619958296699998,1.000000000000000,wb-562,5.799775059897390,17.399325179692202
44,o,i,1,1,-153.699746253999990,59.635215175500001,Alaska44,110179.000000000000000,344,coastal-Alaska44,-153.716642919000009,59.633513336699998,-153.664216017000001,59.633735567899997,2.000000000000000,wb-573,10.645318816363501,31.935956449090501
45,o,i,1,0,-153.678671165999987,59.625352535899999,Alaska45,66500.000000000000000,88,coastal-Alaska45,-153.720094883000002,59.611846591499997,-153.664216017000001,59.633735567899997,1.000000000000000,wb-578,6.865733550962930,20.597200652888802
46,o,i,1,0,-153.312389716000013,59.679766473699999,Alaska46,133693.000000000000000,487,coastal-Alaska46,-153.300463973999996,59.698513636199998,-153.316213602000005,59.670735755999999,1.000000000000000,wb-593,9.275747061122219,27.827241183366599
47,o,i,1,0,-150.125912182999997,59.677083690200000,Alaska47,74895.000000000000000,117,coastal-Alaska47,-150.137805678999996,59.675291831099997,-150.120545795999988,59.679069625300002,1.000000000000000,wb-610,5.331433811969380,15.994301435908101
48,o,i,1,0,-150.132697978000010,59.689661399999999,Alaska48,61453.000000000000000,66,coastal-Alaska48,-150.153339592999998,59.702847483600003,-150.120545795999988,59.679069625300002,1.000000000000000,wb-608,7.256976409318690,21.770929227956099
49,o,i,1,0,-150.229498863999993,59.741357672900001,Alaska49,199209.000000000000000,547,coastal-Alaska49,-150.225615392999998,59.746958742399997,-150.226262631999987,59.736736483199998,2.000000000000000,wb-633,12.068096854332699,36.204290562998096
50,o,i,1,0,-150.222272809000003,59.738791261499998,Alaska50,145444.000000000000000,512,coastal-Alaska50,-150.205550810999995,59.804070062699999,-150.226262631999987,59.736736483199998,2.000000000000000,wb-642,9.809063884680020,29.427191654040101
51,o,i,1,0,-153.455018722000005,59.736847082899999,Alaska51,63129.000000000000000,73,coastal-Alaska51,-153.536277184999989,59.743513760900001,-153.449977754999992,59.737624864399997,1.000000000000000,wb-644,7.439546060979290,22.318638182937899
52,o,i,1,0,-153.455444341000003,59.735180409999998,Alaska52,49692.000000000000000,18,coastal-Alaska52,-153.501973147000001,59.717402561199997,-153.449977754999992,59.737624864399997,1.000000000000000,wb-646,7.474132772970730,22.422398318912201
53,o,i,1,0,-150.905344624999998,59.853959020300003,Alaska53,90000.000000000000000,183,coastal-Alaska53,-150.985697679999987,59.859736806100003,-150.898103754000005,59.848959003399997,1.000000000000000,wb-729,7.215458470232530,21.646375410697601
54,o,i,1,0,-150.898103757999991,59.857205807100001,Alaska54,150480.000000000000000,514,coastal-Alaska54,-150.898535256000002,59.857959035699999,-150.897672260999997,59.856847920800000,1.000000000000000,wb-727,7.099974332452530,21.299922997357601
55,o,i,1,1,-150.885805463999986,59.854959348900003,Alaska55,291599.000000000000000,645,coastal-Alaska55,-150.787640498000002,59.869070204600000,-150.900908474999994,59.832736722200003,3.000000000000000,wb-734,17.692973541271101,53.078920623813303
56,o,i,1,0,-150.887880768999992,59.834403397199999,Alaska56,68161.000000000000000,93,coastal-Alaska56,-150.789582223999986,59.851514585399997,-150.900908474999994,59.832736722200003,1.000000000000000,wb-760,8.481691900378239,25.445075701134702
57,o,i,1,1,-153.230866646999999,59.825690295400001,Alaska57,56405.000000000000000,41,coastal-Alaska57,-153.274789959000003,59.802180679999999,-153.231208764999991,59.828180780399997,2.000000000000000,wb-869,8.101497289663380,24.304491868990102
