OID_,long,lat,hl_link,domain,END_X,END_Y,START_X,START_Y,start_DomLoc,end_DomLoc,FlowDir,multInt,flag,poi_id,flowpath_id,order_,TopWdth,TopWdthCC,nex_id
244,-66.688084916085984,18.410014587902936,PRVI244,PRVI,-66.683513209799997,18.415413245200000,-66.688236011100003,18.408806996399999,o,i,1,0,,626,wb-339,4.000000000000000,19.723800504968299,59.171401514905000,nex-340
245,-67.152444267089209,18.099460488510772,PRVI245,PRVI,-67.151770633900000,18.099750702700000,-67.153154007300003,18.099132556699999,o,i,1,0,,631,wb-1320,1.000000000000000,4.306126808850660,12.918380426552000,nex-1321
246,-67.150898632865562,18.133738205853547,PRVI246,PRVI,-67.148597979300007,18.132075303899999,-67.152894069200002,18.135449371499998,o,i,1,0,,633,wb-993,1.000000000000000,3.115555555555560,9.346666666666669,nex-994
247,-65.924699955938195,18.368657955100616,PRVI247,PRVI,-65.923299293599996,18.369595612800001,-65.925329011900004,18.368231792500001,o,i,1,0,,181,wb-524,1.000000000000000,3.115555555555560,9.346666666666669,nex-525
248,-65.907976121800516,18.011098783482112,PRVI248,PRVI,-65.910386017600004,18.008363153800001,-65.906302883400002,18.034243161500001,o,i,1,0,,152,wb-5247,1.000000000000000,4.942080687050100,14.826242061150300,nex-607
249,-67.143745167205680,18.095539146714316,PRVI249,PRVI,-67.142097736200000,18.100843383400001,-67.144713465999999,18.089974291600001,o,i,1,0,,18,wb-1580,1.000000000000000,3.115555555555560,9.346666666666669,nex-1581
250,-67.145521611533127,18.154953801976433,PRVI250,PRVI,-67.152469229900007,18.155709734700000,-67.141435999400002,18.154653777299998,o,i,1,0,,24,wb-837,1.000000000000000,4.315020265146030,12.945060795438099,nex-838
251,-67.140179996509573,18.191540617705414,PRVI251,PRVI,-67.145506015899997,18.192204829900000,-67.131976197100002,18.190498787999999,o,i,1,0,,162,wb-916,1.000000000000000,3.115555555555560,9.346666666666669,nex-917
252,-65.874093973058393,18.053493287884976,PRVI252,PRVI,-65.871342406300002,18.051086700300001,-65.880409675799996,18.052758100700000,o,i,1,0,,54,wb-590,1.000000000000000,6.316857440429060,18.950572321287201,nex-591
253,-67.150450359496460,18.137266802021372,PRVI253,PRVI,-67.148592268000002,18.139358705999999,-67.152284002399995,18.138166172300000,o,i,1,0,,164,wb-5179,1.000000000000000,3.115555555555560,9.346666666666669,nex-345
254,-67.186636816835573,18.298938384898577,PRVI254,PRVI,-67.182896481200004,18.295497351300000,-67.187326282699999,18.301367352900002,o,i,1,0,,175,wb-1038,1.000000000000000,3.115555555555560,9.346666666666669,nex-1039
255,-65.804843066554213,18.368503562189687,PRVI255,PRVI,-65.800416790100002,18.373937796200000,-65.788150985800002,18.344870454599999,o,i,1,0,,79,wb-675,1.000000000000000,4.715085460488610,14.145256381465799,nex-676
256,-65.656418181753622,18.306969955798877,PRVI256,PRVI,-65.656210544499999,18.306916778900000,-65.660215812399997,18.305926378599999,o,i,1,0,,193,wb-2810,1.000000000000000,3.115555555555560,9.346666666666669,nex-373
257,-65.813770335232732,18.357781379806909,PRVI257,PRVI,-65.813151793800003,18.358551258199999,-65.820913062800003,18.353996056700002,o,i,1,0,,94,wb-437,2.000000000000000,8.004817936329850,24.014453808989600,nex-438
258,-67.132522398789661,18.027071988581440,PRVI258,PRVI,-67.132021848400001,18.023145506599999,-67.131154532799997,18.036664398100001,o,i,1,0,,208,wb-1402,1.000000000000000,3.783848139531900,11.351544418595701,nex-1403
259,-65.973747963197923,18.389022095593305,PRVI259,PRVI,-65.973709043800000,18.389050264500000,-65.978405845200001,18.385265863299999,o,i,1,0,,121,wb-497,1.000000000000000,5.762560606898430,17.287681820695301,nex-498
260,-66.499385322474609,18.434737473455698,PRVI260,PRVI,-66.503434872499994,18.438927327900000,-66.496463605700001,18.436059669900001,o,i,1,0,,129,wb-328,1.000000000000000,3.275473047587140,9.826419142761409,nex-329
261,-65.767977760465214,18.365652338984319,PRVI261,PRVI,-65.767359846500000,18.367310861499998,-65.746941573200004,18.346864589199999,o,i,1,0,,138,wb-5331,1.000000000000000,4.560141260205480,13.680423780616501,nex-518
262,-67.171734025305000,17.980424043434880,PRVI262,PRVI,-67.171826072399995,17.977996658300000,-67.170966872199998,17.983297459900001,o,i,1,0,,144,wb-1825,1.000000000000000,3.115555555555560,9.346666666666669,nex-1826
263,-66.689148424660004,18.426053374263859,PRVI263,PRVI,-66.693389530700003,18.425030032300000,-66.686550863999997,18.425403263700002,o,i,1,0,,212,wb-1353,1.000000000000000,5.201046087563880,15.603138262691600,nex-1354
