OID_,hl_link,long,lat,start_DomL,end_DomLoc,multInt,FlowDir,flag,hf_id,poi_id,hl_uri,flowpath_id,order_,TopWdth,TopWdthCC,START_X,START_Y,END_X,END_Y
326,HI330,-157.165457498221400,21.095668009615331,o,i,0,1,,80000500000750.000000000000000,335,coastal-HI330,wb-2025,1.000000000000000,4.896982686166960,14.690948058500901,-157.168489628999993,21.116231793400001,-157.166425828999991,21.092106528100000
327,HI331,-157.040135121188626,21.103132132099809,o,i,0,1,,80000500000281.000000000000000,299,coastal-HI331,wb-1974,1.000000000000000,4.162265607596720,12.486796822790200,-157.008725101000010,21.119241724500000,-157.042551099999997,21.096288392900000
328,HI332,-157.026381548821547,21.095761770394219,o,i,0,1,,80000500000579.000000000000000,317,coastal-HI332,wb-2126,1.000000000000000,4.569671135869260,13.709013407607801,-157.003216100999992,21.116841191300001,-157.031292900000011,21.090834193100001
329,HI333,-157.262774593579763,21.163398042285216,o,i,1,1,,80000500000418.000000000000000,311,coastal-HI333,wb-1963,1.000000000000000,5.284303112746990,15.852909338241000,-157.217826159999987,21.136938326199999,-157.264392157999993,21.164975591800001
330,HI334,-156.837629230821221,21.060101436908923,o,i,0,1,,80000500000148.000000000000000,285,coastal-HI334,wb-2071,1.000000000000000,3.672942609203960,11.018827827611901,-156.849856840000001,21.095814323799999,-156.837399040999998,21.059688392399998
331,HI335,-156.841459389553535,21.057269495720650,o,i,0,1,,80000500000529.000000000000000,314,coastal-HI335,wb-2016,1.000000000000000,4.565945745047200,13.697837235141600,-156.844940439999988,21.067948325300001,-156.841529441000006,21.053859592799999
332,HI336,-156.770141481960707,21.174502404088699,o,i,0,1,,80000500000411.000000000000000,310,coastal-HI336,wb-1965,1.000000000000000,2.708501409086210,8.125504227258620,-156.773934840999999,21.166903318900001,-156.770639440999986,21.176074785000001
333,HI337,-156.816603817214371,21.067257155650044,o,i,0,1,,80000500001161.000000000000000,367,coastal-HI337,wb-2079,1.000000000000000,2.844664134495370,8.533992403486110,-156.817703641000008,21.068858391599999,-156.816493307999991,21.067012391700001
334,HI338,-156.821653801315563,21.065667208874977,o,i,0,1,,80000500000101.000000000000000,283,coastal-HI338,wb-1989,1.000000000000000,2.258536386268700,6.775609158806110,-156.825523040999997,21.079973524400000,-156.821569240999992,21.065406325200001
335,HI339,-157.244603413808221,21.179649004265862,o,i,0,1,,80000500001057.000000000000000,358,coastal-HI339,wb-2124,1.000000000000000,3.191603010720790,9.574809032162380,-157.233872625999993,21.178791390600001,-157.247637757999996,21.181243923899999
336,HI340,-157.255037540344148,21.166494577905823,o,i,0,1,,80000500000008.000000000000000,276,coastal-HI340,wb-1993,1.000000000000000,4.002438283888950,12.007314851666800,-157.245880359000012,21.157337592000001,-157.258516224999994,21.170079191399999
337,HI341,-157.269859841934391,21.158627792389900,o,i,0,1,,80000500000734.000000000000000,330,coastal-HI341,wb-1948,1.000000000000000,2.950713427834250,8.852140283502759,-157.265607425000013,21.153584125799998,-157.270396825000006,21.160053392100000
338,HI342,-157.296061539813735,21.117631354868774,o,i,0,1,,80000500000151.000000000000000,286,coastal-HI342,wb-2154,1.000000000000000,3.635936459768260,10.907809379304799,-157.294447958000006,21.116918128300000,-157.297728424000013,21.118382128299999
339,HI343,-157.308120462706597,21.104127866120859,o,i,0,1,,80000500001047.000000000000000,355,coastal-HI343,wb-1917,1.000000000000000,2.241204339904920,6.723613019714760,-157.301773158000003,21.101505529299999,-157.308151624000004,21.104163329199999
340,HI344,-157.202106368267579,21.090887121950303,o,i,0,1,,80000500000299.000000000000000,303,coastal-HI344,wb-1972,1.000000000000000,2.476962642509360,7.430887927528070,-157.200561227999998,21.096239928300001,-157.202576160999996,21.089776928700001
341,HI345,-157.241134586569387,21.088610388446796,o,i,0,1,,80000500001054.000000000000000,357,coastal-HI345,wb-1916,1.000000000000000,2.952945761721640,8.858837285164910,-157.238554227000009,21.100621395200001,-157.241178759999997,21.087991396000000
342,HI346,-156.941962452265415,21.065966462429319,o,i,0,1,,80000500000475.000000000000000,313,coastal-HI346,wb-2047,1.000000000000000,2.772356258028510,8.317068774085540,-156.928334436999990,21.089524725200000,-156.942602703999995,21.065354793400001
343,HI347,-156.910520241027513,21.058737056837149,o,i,0,1,,80000500000956.000000000000000,352,coastal-HI347,wb-2011,1.000000000000000,4.939415226859360,14.818245680578100,-156.908872505000005,21.060686993200001,-156.911572704999998,21.056575526800000
344,HI348,-156.928912652633898,21.062092457597263,o,i,0,1,,80000500000208.000000000000000,292,coastal-HI348,wb-2017,1.000000000000000,4.771970579397950,14.315911738193901,-156.929375504000006,21.063476926700002,-156.928031237999988,21.061504726799999
345,HI349,-156.942745070199891,21.066051308257439,o,i,0,1,,80000500000638.000000000000000,321,coastal-HI349,wb-2280,1.000000000000000,2.860617403010070,8.581852209030220,-156.939812636999989,21.075252792800001,-156.942602703999995,21.065354793400001
