OID_,vpuID,domain,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link,poi_id,flowpath_id,nex_id,order_,TopWdth,TopWdthCC,START_X,START_Y,END_X,END_Y
45,02,conus,o,i,1,0,-73.468503449200000,44.035735780499998,LakeChamplain45,48688,wb-120438,nex-120439,1.000000000000000,8.263475363479211,24.790426090437599,-73.506396759400005,44.039769317000001,-73.460716619500005,44.035063232100001
46,02,conus,o,i,1,0,-73.460885230900004,44.054144469999997,LakeChamplain46,75977,wb-120426,nex-120427,2.000000000000000,11.424948367988399,34.274845103965298,-73.513090705400003,44.062219634999998,-73.453035418100001,44.050456301799997
47,02,conus,o,i,1,0,-73.262902334399996,44.241497356700002,LakeChamplain47,54067,wb-120401,nex-120402,3.000000000000000,15.619657356435200,46.858972069305601,-73.223144156700002,44.251362279299997,-73.262012435499997,44.241536876100000
48,02,conus,o,i,1,0,-73.274842150599994,44.231374088000003,LakeChamplain48,22716,wb-120411,nex-120409,1.000000000000000,7.829268189586050,23.487804568758101,-73.289223175399997,44.208342535900002,-73.274816172300007,44.231528140499996
49,02,conus,o,i,1,0,-73.214069056599996,44.391084404899999,LakeChamplain49,25109,wb-120383,nex-120384,3.000000000000000,13.832106134895700,41.496318404687102,-73.216505628600004,44.370271959699998,-73.234389570999994,44.399039504999998
5,02,conus,o,i,1,0,-73.142032938800000,44.776968610899999,LakeChamplain5,57830,wb-119937,nex-119938,2.000000000000000,10.760469855788600,32.281409567365799,-73.119381236300001,44.749871835699999,-73.146991169900005,44.783157242400002
50,02,conus,o,i,1,0,-73.228256374400004,44.386725955899998,LakeChamplain50,25109,wb-120383,nex-120384,3.000000000000000,13.832106134895700,41.496318404687102,-73.216505628600004,44.370271959699998,-73.234389570999994,44.399039504999998
51,02,conus,o,i,1,0,-73.211665702100007,44.446934404200000,LakeChamplain51,48651,wb-120387,nex-120388,1.000000000000000,7.552626713074590,22.657880139223799,-73.153518215399998,44.461793385699998,-73.213704877599994,44.445090863700003
52,02,conus,o,i,1,0,-73.420253559200006,44.480180501699998,LakeChamplain52,48991,wb-120376,nex-120377,1.000000000000000,6.755965196627800,20.267895589883398,-73.436030242599998,44.467913776300001,-73.416403703800000,44.481661912800000
53,02,conus,o,i,1,0,-73.174664899800007,44.551753244300002,LakeChamplain53,48916,wb-120368,nex-120369,1.000000000000000,8.549811973207580,25.649435919622800,-73.112711804699998,44.500063527300000,-73.165386161100002,44.548597389999998
54,02,conus,o,i,1,0,-73.163790589700000,44.587447676300002,LakeChamplain54,48807,wb-120363,nex-120361,1.000000000000000,6.909534216493400,20.728602649480202,-73.140968222799998,44.621810747700003,-73.172944363300005,44.574441404799998
55,02,conus,o,i,1,0,-73.152517080899997,44.567816655400001,LakeChamplain55,22750,wb-120358,nex-120359,1.000000000000000,6.581304705590840,19.743914116772501,-73.124133545299998,44.549001535499997,-73.163402759700006,44.568106537399999
56,02,conus,o,i,1,0,-73.456977196500006,44.583373025500002,LakeChamplain56,75888,wb-120349,nex-120350,2.000000000000000,15.319222436840899,45.957667310522602,-73.514912277500002,44.588762127899997,-73.438271851600007,44.581235729500001
57,02,conus,o,i,1,0,-73.210986037799998,44.604864116800002,LakeChamplain57,22502,wb-120170,nex-120171,4.000000000000000,31.570590092489599,94.711770277468702,-73.145595626100004,44.644887751500001,-73.227819850900005,44.611337142600000
58,02,conus,o,i,1,0,-73.464854603500001,44.623892813399998,LakeChamplain58,6000,wb-120136,nex-120137,2.000000000000000,14.871823323877200,44.615469971631498,-73.494710989500007,44.640000179499999,-73.448758058600006,44.628485003999998
59,02,conus,o,i,1,0,-73.463043474200006,44.635599531899999,LakeChamplain59,6000,wb-120136,nex-120137,2.000000000000000,14.871823323877200,44.615469971631498,-73.494710989500007,44.640000179499999,-73.448758058600006,44.628485003999998
6,02,conus,o,i,1,0,-73.455797793800002,44.724782058000002,LakeChamplain6,22666,wb-120125,nex-120126,1.000000000000000,11.495311416984800,34.485934250954500,-73.462526142200005,44.796009766099999,-73.459380936299993,44.731050554900001
60,02,conus,o,i,1,0,-73.462039885999999,44.690948004399999,LakeChamplain60,48995,wb-119980,nex-119981,4.000000000000000,29.817858733123000,89.453576199368896,-73.549751163699995,44.696683145500003,-73.471211457699994,44.681926176799998
61,02,conus,o,i,1,0,-73.137985981800000,44.821568315999997,LakeChamplain61,23914,wb-119933,nex-119918,1.000000000000000,3.115555555555560,9.346666666666669,-73.138075036399997,44.821448182700003,-73.145629638900004,44.820052382199997
62,02,conus,o,i,1,0,-73.205453088400006,44.647181908900002,LakeChamplain62,57859,wb-119923,nex-119924,1.000000000000000,6.681819780440600,20.045459341321799,-73.180141238100006,44.652729151599999,-73.209239380400007,44.644048015700001
63,02,conus,o,i,1,0,-73.208899734799999,44.675287007199998,LakeChamplain63,79416,wb-119929,nex-119930,1.000000000000000,8.966904276132921,26.900712828398799,-73.181587116800003,44.704201994599998,-73.209058382600006,44.675206954499998
64,02,conus,o,i,1,0,-73.138306038799996,44.940128900399998,LakeChamplain64,74697,wb-119766,nex-119767,4.000000000000000,33.485569832838998,100.456709498517000,-73.127835256899999,44.916747168000001,-73.148361915699994,44.945410470600002
65,02,conus,o,i,1,0,-73.081425896499994,44.976303969699998,LakeChamplain65,6028,wb-119782,nex-119783,2.000000000000000,14.082259923593501,42.246779770780599,-73.072502560900006,44.996669815600001,-73.083784964100005,44.989109080600002
66,02,conus,o,i,1,0,-73.070596099599996,44.995634250999998,LakeChamplain66,22538,wb-119781,nex-119782,2.000000000000000,13.817175863737701,41.451527591213100,-73.052425822299995,45.015740686299999,-73.072502560900006,44.996669815600001
67,02,conus,o,i,1,0,-73.407307853800006,44.804750149999997,LakeChamplain67,49002,wb-119728,nex-119729,1.000000000000000,8.259681320166241,24.779043960498701,-73.452350140700005,44.821896170999999,-73.393018653599995,44.811770371500003
68,02,conus,o,i,1,0,-73.403870159600004,44.938973289200000,LakeChamplain68,16924,wb-119675,nex-119676,4.000000000000000,22.624901321827799,67.874703965483505,-73.438229548099997,44.983703999699998,-73.408097734999998,44.941776460200003
7,02,conus,o,i,1,0,-73.163639953100002,44.561180262599997,LakeChamplain7,22750,wb-120358,nex-120359,1.000000000000000,6.581304705590840,19.743914116772501,-73.124133545299998,44.549001535499997,-73.163402759700006,44.568106537399999
8,02,conus,o,i,1,0,-73.413861401299997,44.426586128799997,LakeChamplain8,53295,wb-120372,nex-120373,2.000000000000000,8.706942193824620,26.120826581473800,-73.455986043999999,44.396272696300002,-73.410243297700006,44.426610703300000
9,02,conus,o,i,1,0,-73.274634822699994,44.231429204100003,LakeChamplain9,22716,wb-120411,nex-120409,1.000000000000000,7.829268189586050,23.487804568758101,-73.289223175399997,44.208342535900002,-73.274816172300007,44.231528140499996
