OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
244,800018471,-156.896049710999989,20.740025744299999,-156.896074843999997,20.739965944300000,o,i,1,0,-156.896070930999997,20.739975253299999,HI-245
245,800001308,-156.907352309999993,20.748408811000001,-156.901560109999991,20.738351011500001,o,i,1,0,-156.902096884999992,20.739483012400001,HI-246
246,800001388,-156.821939310999994,20.826392405499998,-156.812798245000010,20.831440605099999,o,i,1,0,-156.813686585999989,20.830339422200002,HI-247
247,800017027,-156.823725044000014,20.822051205800001,-156.811504711999987,20.829783805200002,o,i,1,0,-156.812793727000013,20.828629244300000,HI-248
248,800005944,-156.818229112000012,20.819306005900000,-156.808307912000004,20.825845138399998,o,i,1,0,-156.810772447000005,20.823760005499999,HI-249
249,800005943,-156.818459445000002,20.814689939099999,-156.805811312000003,20.815484138900000,o,i,1,0,-156.807225958999993,20.815227037900002,HI-250
250,800017038,-156.817316645000005,20.806238206600000,-156.809393844999988,20.801658539700000,o,i,1,0,-156.809983939999995,20.801928516699999,HI-251
251,800012600,-156.830879044999989,20.787649407800000,-156.820602511999994,20.784229607800000,o,i,1,0,-156.822017135999999,20.784914207800000,HI-252
252,800005732,-157.219237759000009,21.180687190200000,-157.248323158000005,21.190075322999999,o,i,1,0,-157.245163624000014,21.188934012000001,HI-253
253,800003662,-156.838447839999986,21.081308590900001,-156.831534107000010,21.063365991800001,o,i,1,0,-156.831694669000001,21.063790567800002,HI-254
254,800003663,-156.823800506999987,21.079616990800002,-156.819510441000006,21.065274591500000,o,i,1,0,-156.820006156999995,21.066389917500000,HI-255
255,800012410,-157.210633159999986,21.192306789400000,-157.248398957999996,21.193885189800000,o,i,1,0,-157.246238997999995,21.193738538800002,HI-256
256,800012404,-157.260607158999989,21.145633526699999,-157.278930624999987,21.154448125399998,o,i,1,0,-157.276163155000006,21.153599209399999,HI-257
257,800012402,-157.276352957999990,21.137396593300000,-157.289258757999988,21.141464327300000,o,i,1,0,-157.280889198000011,21.138102089400000,HI-258
258,800005727,-157.277936825000012,21.128818393900001,-157.289610358000004,21.137643127499999,o,i,1,0,-157.286409947000010,21.135768243600001,HI-259
259,800012401,-157.271023559000014,21.114773194600001,-157.296739158000008,21.129278528099999,o,i,1,0,-157.293786546000007,21.128155635100001,HI-260
260,800012400,-157.278398358999993,21.105787195200001,-157.301224358000013,21.112523129100001,o,i,1,0,-157.295554578000008,21.114436750900001,HI-261
261,800005723,-157.292908425000007,21.105295329400001,-157.301224358000013,21.112523129100001,o,i,1,0,-157.297310063999987,21.111956188099999,HI-262
262,800012412,-157.229659626999990,21.101104328800002,-157.227462559999992,21.088671929499998,o,i,1,0,-157.226565695000005,21.091346363300001,HI-263
263,800014613,-157.220584427999995,21.097226194899999,-157.221372760999998,21.089468795399998,o,i,1,0,-157.221935405000011,21.092564277200001,HI-264
264,800016863,-157.210552560999986,21.095775328900000,-157.213880961000001,21.090033929200001,o,i,1,0,-157.212446591000003,21.092283483100001,HI-265
