OID_,id,START_X,START_Y,END_X,END_Y,start_DomL,end_DomLoc,FlowDir,multInt,long,lat,hl_link
54,800034497,-67.227325028999999,18.348580833300002,-67.235220898799994,18.368433572000001,o,i,1,1,-67.227987677499996,18.363207042500001,PRVI-55
55,800023741,-67.236988032200003,18.361085369800001,-67.235220898799994,18.368433572000001,o,i,1,0,-67.236023364000005,18.363686122600001,PRVI-56
56,800030241,-67.242683901000007,18.362222035999999,-67.245575435099994,18.373119639199999,o,i,1,0,-67.243249793299995,18.367650699599999,PRVI-57
57,800036688,-67.249623703200001,18.366521037199998,-67.251965963999993,18.372151685799999,o,i,1,0,-67.249504779199995,18.369102060900001,PRVI-58
58,800034494,-67.262093906999993,18.362638235799999,-67.260788706699998,18.370118972099998,o,i,1,0,-67.260494261600002,18.368132602500001,PRVI-59
59,800028097,-67.249624036000000,18.355987968099999,-67.269175842099997,18.356683035000000,o,i,1,1,-67.262391491000002,18.357440651299999,PRVI-60
60,800032379,-67.250334503100007,18.344496364699999,-67.256510238000004,18.345140964799999,o,i,1,0,-67.251308695399999,18.344577842700001,PRVI-61
61,800038824,-67.245199901600003,18.352638434199999,-67.256510238000004,18.345140964799999,o,i,1,0,-67.256539891100005,18.349436129099999,PRVI-62
62,800038827,-67.233056097599999,18.336412762599998,-67.250814903000006,18.332326861100000,o,i,1,0,-67.244191755000003,18.335031268000002,PRVI-63
63,800023746,-67.222956894199996,18.320617558100000,-67.230870896599995,18.319693557699999,o,i,1,0,-67.229288843099994,18.319988220799999,PRVI-64
64,800023747,-67.222667494000007,18.314105156200000,-67.230870896599995,18.319693557699999,o,i,1,0,-67.229221094099998,18.317987317200000,PRVI-65
65,800023736,-67.230276896199996,18.305443153500001,-67.235144697699994,18.307567021099999,o,i,1,0,-67.233493254199999,18.306659245799999,PRVI-66
66,800023737,-67.224468227399996,18.307610554200000,-67.235144697699994,18.307567021099999,o,i,1,0,-67.230810827400006,18.308352655400000,PRVI-67
67,800023744,-67.222660826799995,18.302920419900001,-67.225446560500004,18.296734283999999,o,i,1,0,-67.224391779300007,18.298821493700000,PRVI-68
68,800025942,-67.216212291800005,18.300443019300001,-67.220555226000002,18.296835018100001,o,i,1,0,-67.219533231800000,18.298608713699998,PRVI-69
69,800030255,-67.207520489000004,18.298727618899999,-67.208740422299996,18.294101350500000,o,i,1,0,-67.207680778099999,18.298447397800000,PRVI-70
70,800038835,-67.200241486799996,18.301142219700001,-67.200457219800001,18.292518617199999,o,i,1,0,-67.199602332599994,18.297653794700000,PRVI-71
71,800023834,-67.169609410600003,18.314051423999999,-67.155304072800007,18.293227151100002,o,i,1,0,-67.156031631100007,18.295565341800000,PRVI-72
72,800032470,-67.147434445399995,18.296085131100000,-67.151139535400006,18.288597692800000,o,i,1,0,-67.147737136499998,18.295551322900000,PRVI-73
73,800030375,-67.134817066500005,18.295838219200000,-67.139638400899997,18.287670616700002,o,i,1,0,-67.137709879300004,18.291063449700001,PRVI-74
74,800036828,-67.136921537199996,18.296903578500000,-67.143718690100002,18.287467853599999,o,i,1,0,-67.140963523400004,18.292975402200000,PRVI-75
75,800038921,-67.152275204999995,18.303103020999998,-67.150649012399995,18.297349777400001,o,i,1,0,-67.150636242399997,18.297476058400001,PRVI-76
76,800025982,-67.174612479000004,18.304753754200000,-67.168549138800003,18.290228162999998,o,i,1,0,-67.172064027100006,18.297266555000000,PRVI-77
77,800030318,-67.166641076499999,18.305684554599999,-67.164637449599994,18.289931240000001,o,i,1,0,-67.167411306600002,18.299053647600001,PRVI-78
78,800025977,-67.187326282800001,18.301367353000000,-67.182896481399993,18.295497351300000,o,i,1,0,-67.186636816600000,18.298938384300001,PRVI-79
79,800038866,-67.177851079899995,18.301881020300002,-67.177347012699997,18.297921390100001,o,i,1,0,-67.177784797900003,18.299252666499999,PRVI-80
