------------------------------------------------------------
 Model:        tpxo10_atlas
 Constituents included:

     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)


------------------------------------------------------------
 Model:        a/TPXO/Model_tpxo10_atlas
 Constituents included: m2  s2  k1  o1  n2  p1  k2  q1  2n2 mf  mm  m4  ms4 mn4 s1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
 
    28.3114  -96.4250     05.13.2020 07:40:00    -0.270    11.540
    28.3114  -96.4250     05.13.2020 07:50:00    -0.269    11.540
    28.3114  -96.4250     05.13.2020 08:00:00    -0.266    11.540
    28.3114  -96.4250     05.13.2020 08:10:00    -0.264    11.540
    28.3114  -96.4250     05.13.2020 08:20:00    -0.260    11.540
    28.3114  -96.4250     05.13.2020 08:30:00    -0.256    11.540
    28.3114  -96.4250     05.13.2020 08:40:00    -0.251    11.540
    28.3114  -96.4250     05.13.2020 08:50:00    -0.246    11.540
    28.3114  -96.4250     05.13.2020 09:00:00    -0.240    11.540
    28.3114  -96.4250     05.13.2020 09:10:00    -0.233    11.540
    28.3114  -96.4250     05.13.2020 09:20:00    -0.226    11.540
    28.3114  -96.4250     05.13.2020 09:30:00    -0.218    11.540
    28.3114  -96.4250     05.13.2020 09:40:00    -0.209    11.540
    28.3114  -96.4250     05.13.2020 09:50:00    -0.200    11.540
    28.3114  -96.4250     05.13.2020 10:00:00    -0.190    11.540
    28.3114  -96.4250     05.13.2020 10:10:00    -0.180    11.540
    28.3114  -96.4250     05.13.2020 10:20:00    -0.169    11.540
    28.3114  -96.4250     05.13.2020 10:30:00    -0.158    11.540
    28.3114  -96.4250     05.13.2020 10:40:00    -0.147    11.540
    28.3114  -96.4250     05.13.2020 10:50:00    -0.135    11.540
    28.3114  -96.4250     05.13.2020 11:00:00    -0.123    11.540
    28.3114  -96.4250     05.13.2020 11:10:00    -0.110    11.540
    28.3114  -96.4250     05.13.2020 11:20:00    -0.097    11.540
    28.3114  -96.4250     05.13.2020 11:30:00    -0.085    11.540
    28.3114  -96.4250     05.13.2020 11:40:00    -0.072    11.540
    28.3114  -96.4250     05.13.2020 11:50:00    -0.059    11.540
    28.3114  -96.4250     05.13.2020 12:00:00    -0.046    11.540
    28.3114  -96.4250     05.13.2020 12:10:00    -0.033    11.540
    28.3114  -96.4250     05.13.2020 12:20:00    -0.020    11.540
    28.3114  -96.4250     05.13.2020 12:30:00    -0.008    11.540
    28.3114  -96.4250     05.13.2020 12:40:00     0.004    11.540
    28.3114  -96.4250     05.13.2020 12:50:00     0.016    11.540
    28.3114  -96.4250     05.13.2020 13:00:00     0.028    11.540
    28.3114  -96.4250     05.13.2020 13:10:00     0.039    11.540
    28.3114  -96.4250     05.13.2020 13:20:00     0.050    11.540
    28.3114  -96.4250     05.13.2020 13:30:00     0.061    11.540
    28.3114  -96.4250     05.13.2020 13:40:00     0.071    11.540
    28.3114  -96.4250     05.13.2020 13:50:00     0.080    11.540
    28.3114  -96.4250     05.13.2020 14:00:00     0.090    11.540
    28.3114  -96.4250     05.13.2020 14:10:00     0.098    11.540
    28.3114  -96.4250     05.13.2020 14:20:00     0.106    11.540
    28.3114  -96.4250     05.13.2020 14:30:00     0.114    11.540
    28.3114  -96.4250     05.13.2020 14:40:00     0.121    11.540
    28.3114  -96.4250     05.13.2020 14:50:00     0.128    11.540
    28.3114  -96.4250     05.13.2020 15:00:00     0.134    11.540
    28.3114  -96.4250     05.13.2020 15:10:00     0.140    11.540
    28.3114  -96.4250     05.13.2020 15:20:00     0.145    11.540
    28.3114  -96.4250     05.13.2020 15:30:00     0.150    11.540
    28.3114  -96.4250     05.13.2020 15:40:00     0.154    11.540
    28.3114  -96.4250     05.13.2020 15:50:00     0.158    11.540
    28.3114  -96.4250     05.13.2020 16:00:00     0.162    11.540
    28.3114  -96.4250     05.13.2020 16:10:00     0.165    11.540
    28.3114  -96.4250     05.13.2020 16:20:00     0.167    11.540
    28.3114  -96.4250     05.13.2020 16:30:00     0.170    11.540
    28.3114  -96.4250     05.13.2020 16:40:00     0.172    11.540
    28.3114  -96.4250     05.13.2020 16:50:00     0.174    11.540
    28.3114  -96.4250     05.13.2020 17:00:00     0.175    11.540
    28.3114  -96.4250     05.13.2020 17:10:00     0.176    11.540
    28.3114  -96.4250     05.13.2020 17:20:00     0.177    11.540
    28.3114  -96.4250     05.13.2020 17:30:00     0.177    11.540
    28.3114  -96.4250     05.13.2020 17:40:00     0.177    11.540
    28.3114  -96.4250     05.13.2020 17:50:00     0.177    11.540
    28.3114  -96.4250     05.13.2020 18:00:00     0.177    11.540
    28.3114  -96.4250     05.13.2020 18:10:00     0.176    11.540
    28.3114  -96.4250     05.13.2020 18:20:00     0.175    11.540
